category	cohort	sample	file_type	key	url	size_bytes	last_modified
sample	Mtb151	R24120	asm_crai	samples/Mtb151/R24120/R24120.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24120/R24120.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:09:41Z
sample	Mtb151	R24120	asm_cram	samples/Mtb151/R24120/R24120.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24120/R24120.mm2.AsmToH37Rv.asm10.cram	826655	2026-07-20T14:09:40Z
sample	Mtb151	R25048	lr_100x_crai	samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.Subsample100x.cram.crai	1808	2026-07-23T17:05:18Z
sample	Mtb151	R25048	lr_100x_cram	samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.Subsample100x.cram	212238417	2026-07-23T17:05:12Z
sample	Mtb151	R25048	lr_full_depth_crai	samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.primary_only.cram.crai	2753	2026-07-20T14:09:46Z
sample	Mtb151	R25048	lr_full_depth_cram	samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R25048/R25048.LR.AlnToH37Rv.primary_only.cram	321220660	2026-07-20T14:09:45Z
sample	Mtb151	R25048	asm_crai	samples/Mtb151/R25048/R25048.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R25048/R25048.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:09:48Z
sample	Mtb151	R25048	asm_cram	samples/Mtb151/R25048/R25048.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R25048/R25048.mm2.AsmToH37Rv.asm10.cram	881833	2026-07-20T14:09:47Z
sample	Mtb151	R26778	lr_100x_crai	samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.Subsample100x.cram.crai	1488	2026-07-23T17:07:01Z
sample	Mtb151	R26778	lr_100x_cram	samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.Subsample100x.cram	178007891	2026-07-23T17:06:57Z
sample	Mtb151	R26778	lr_full_depth_crai	samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.primary_only.cram.crai	1502	2026-07-20T14:09:53Z
sample	Mtb151	R26778	lr_full_depth_cram	samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26778/R26778.LR.AlnToH37Rv.primary_only.cram	179626833	2026-07-20T14:09:51Z
sample	Mtb151	R26778	asm_crai	samples/Mtb151/R26778/R26778.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26778/R26778.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:09:55Z
sample	Mtb151	R26778	asm_cram	samples/Mtb151/R26778/R26778.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26778/R26778.mm2.AsmToH37Rv.asm10.cram	877783	2026-07-20T14:09:54Z
sample	Mtb151	R26791	lr_100x_crai	samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.Subsample100x.cram.crai	1788	2026-07-23T17:00:21Z
sample	Mtb151	R26791	lr_100x_cram	samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.Subsample100x.cram	212298082	2026-07-23T17:00:18Z
sample	Mtb151	R26791	lr_full_depth_crai	samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.primary_only.cram.crai	2238	2026-07-20T14:10:02Z
sample	Mtb151	R26791	lr_full_depth_cram	samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26791/R26791.LR.AlnToH37Rv.primary_only.cram	265056404	2026-07-20T14:10:01Z
sample	Mtb151	R26791	asm_crai	samples/Mtb151/R26791/R26791.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26791/R26791.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:10:04Z
sample	Mtb151	R26791	asm_cram	samples/Mtb151/R26791/R26791.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R26791/R26791.mm2.AsmToH37Rv.asm10.cram	878246	2026-07-20T14:10:03Z
sample	Mtb151	R27252	lr_100x_crai	samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.Subsample100x.cram.crai	1827	2026-07-23T17:01:12Z
sample	Mtb151	R27252	lr_100x_cram	samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.Subsample100x.cram	213747928	2026-07-23T17:01:08Z
sample	Mtb151	R27252	lr_full_depth_crai	samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.primary_only.cram.crai	2720	2026-07-20T14:10:13Z
sample	Mtb151	R27252	lr_full_depth_cram	samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27252/R27252.LR.AlnToH37Rv.primary_only.cram	320994014	2026-07-20T14:10:11Z
sample	Mtb151	R27252	asm_crai	samples/Mtb151/R27252/R27252.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27252/R27252.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:10:15Z
sample	Mtb151	R27252	asm_cram	samples/Mtb151/R27252/R27252.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27252/R27252.mm2.AsmToH37Rv.asm10.cram	882270	2026-07-20T14:10:14Z
sample	Mtb151	R27657	lr_100x_crai	samples/Mtb151/R27657/R27657.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27657/R27657.LR.AlnToH37Rv.Subsample100x.cram.crai	1805	2026-07-23T17:02:50Z
sample	Mtb151	R27657	lr_100x_cram	samples/Mtb151/R27657/R27657.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R27657/R27657.LR.AlnToH37Rv.Subsample100x.cram	214176511	2026-07-23T17:02:46Z
